Open,High,Low,Close,Adj Close,Volume
-1.124971777,-1.125572471,-1.125113117,-1.124503363,-1.124503363,0.784474023
-1.122617808,-1.123404146,-1.122111953,-1.123382106,-1.123382106,1.261868566
-1.125501073,-1.127788996,-1.12563445,-1.127247351,-1.127247351,1.329303478
-1.1236764,-1.123858478,-1.121393357,-1.122866735,-1.122866735,0.762070046
-1.122952096,-1.125125048,-1.125099031,-1.124566054,-1.124566054,0.748025727
-1.121984044,-1.124484881,-1.126648942,-1.127491126,-1.127491126,1.441546371
-1.129025093,-1.1273209,-1.130051677,-1.126822521,-1.126822521,1.558582139
-1.127527745,-1.128133165,-1.126761661,-1.128131852,-1.128131852,1.467405696
-1.128293825,-1.121077514,-1.126423506,-1.121613133,-1.121613133,1.502739363
-1.122659583,-1.121834697,-1.123725253,-1.125833582,-1.125833582,0.930044252
-1.126113949,-1.127919776,-1.128205869,-1.127108071,-1.127108071,1.028131391
-1.125870202,-1.125365964,-1.124570655,-1.12446855,-1.12446855,0.895044973
-1.126399498,-1.124877251,-1.12488768,-1.124879455,-1.124879455,0.759394938
-1.124024613,-1.119776507,-1.123041901,-1.118555745,-1.118555745,1.911584366
-1.118035196,-1.115763409,-1.117532706,-1.118653221,-1.118653221,2.234045829
-1.115486218,-1.115694564,-1.115665768,-1.115762991,-1.115762991,1.231773653
-1.115667301,-1.116864762,-1.114137014,-1.116563912,-1.116563912,0.491215798
-1.116760707,-1.11790418,-1.120435237,-1.121439012,-1.121439012,0.513508312
-1.125382681,-1.1273209,-1.132792188,-1.127908993,-1.127908993,2.275844313
-1.124686255,-1.125682606,-1.124324089,-1.126627541,-1.126627541,0.147019108
-1.123996763,-1.125469217,-1.123978891,-1.126390729,-1.126390729,0.237303876
-1.125452335,-1.125193893,-1.128452463,-1.13118924,-1.13118924,1.714295487
-1.130989073,-1.128566825,-1.128973796,-1.127776676,-1.127776676,0.597885549
-1.124895188,-1.121098159,-1.124542482,-1.118980574,-1.118980574,1.240802115
