,Date,Open,High,Low,Close,Adj Close,Volume,nasdaq,snp,djia,ftse100,nikkei225,sensex,russell2000,hangseng,sse,oil,gold,vix,usdx,amzn,aapl,msft
1163,2016-08-17,38.866001,39.040501,38.676498,38.995499,38.995499,18484000,5228.660156,2182.22,18573.94,6859.15,16745.640625,28005.37,1227.68,22799.779297,3109.554932,46.79,"1,342.70",12.19,94.720001,38.231499,27.305,57.560001
1164,2016-08-18,39.0005,39.143002,38.849998,38.875,38.875,14388000,5240.149902,2187.02,18597.7,6868.96,16486.009766,28123.44,1236.85,23023.160156,3104.114014,48.22,"1,351.20",11.43,94.160004,38.223,27.27,57.599998
1165,2016-08-19,38.75,38.855,38.656502,38.771,38.771,17230000,5238.379883,2183.87,18552.57,6858.95,16545.820313,28077.0,1236.77,22937.220703,3108.102051,48.52,"1,340.40",11.34,94.510002,37.865501,27.34,57.619999
1166,2016-08-22,38.663502,38.727001,38.502499,38.607498,38.607498,19028000,5244.600098,2182.64,18529.42,6828.54,16598.189453,27985.54,1239.74,22997.910156,3084.804932,47.05,"1,337.70",12.27,94.519997,37.973999,27.127501,57.669998
1167,2016-08-23,38.773998,38.821999,38.589249,38.604,38.604,18564000,5260.080078,2186.9,18547.3,6868.51,16497.359375,27990.21,1248.58,22998.929688,3089.706055,48.1,"1,340.60",12.38,94.540001,38.122501,27.2125,57.889999
1168,2016-08-24,38.528999,38.724998,38.3535,38.481998,38.481998,21440000,5217.689941,2175.44,18481.48,6835.78,16597.300781,28059.94,1237.25,22820.779297,3085.879883,46.77,"1,324.40",13.45,94.790001,37.862499,27.0075,57.950001
1169,2016-08-25,38.349998,38.594501,38.159248,38.470501,38.470501,18538000,5212.200195,2172.47,18448.41,6816.9,16555.949219,27835.91,1240.01,22814.949219,3068.329102,47.33,"1,320.10",13.63,94.769997,37.960999,26.8925,58.169998
1170,2016-08-26,38.450001,38.804001,38.2925,38.477001,38.477001,23334000,5218.919922,2169.04,18395.4,6838.05,16360.709961,27782.25,1238.03,22909.539063,3070.309082,47.64,"1,321.50",13.65,95.57,38.450001,26.735001,58.029999
1171,2016-08-29,38.437,38.7495,38.33075,38.607498,38.607498,16952000,5232.330078,2180.38,18502.99,6838.05,16737.490234,27902.66,1244.94,22821.339844,3070.0271,46.98,"1,322.90",12.94,95.580002,38.564499,26.705,58.099998
1172,2016-08-30,38.466499,38.723301,38.341999,38.454498,38.454498,22600000,5222.990234,2176.12,18454.3,6820.79,16725.359375,28343.01,1246.03,23016.109375,3074.677002,46.35,"1,311.70",13.12,96.050003,38.379002,26.5,57.889999
