Date, Open, High, Low, Close
08/17/22, 2008.88, 2008.88, 1976.14, 1987.31
08/16/22, 2018.73, 2030.05, 2003.78, 2020.53
08/15/22, 2007.41, 2022.03, 1994.68, 2021.35
08/12/22, 1978.79, 2016.62, 1978.67, 2016.62
08/11/22, 1981.93, 2005.21, 1972.63, 1975.26
08/10/22, 1935.77, 1970.95, 1935.77, 1969.25
08/09/22, 1937.25, 1937.25, 1904.97, 1912.89
08/08/22, 1928.41, 1959.13, 1928.41, 1941.21
08/05/22, 1887.54, 1922.55, 1884.18, 1921.82
08/04/22, 1908.52, 1911.57, 1899.46, 1906.46
08/03/22, 1895.38, 1912.77, 1891.05, 1908.92
08/02/22, 1875.50, 1900.73, 1875.05, 1882.45
08/01/22, 1870.49, 1892.97, 1859.88, 1883.31
07/29/22, 1874.17, 1888.22, 1865.76, 1885.23
07/28/22, 1854.18, 1873.74, 1832.77, 1873.03
07/27/22, 1814.28, 1852.86, 1814.14, 1848.34
07/26/22, 1812.50, 1812.50, 1800.29, 1805.25
07/25/22, 1810.95, 1819.10, 1798.82, 1817.77
07/22/22, 1839.36, 1842.20, 1795.29, 1806.88
07/21/22, 1819.77, 1836.69, 1804.98, 1836.69
07/20/22, 1797.94, 1829.91, 1797.94, 1827.95
07/19/22, 1754.73, 1800.01, 1754.73, 1799.32
07/18/22, 1744.50, 1746.61, 1734.22, 1738.42
07/15/22, 1724.10, 1744.37, 1708.90, 1744.37
07/14/22, 1712.29, 1712.29, 1684.85, 1707.51
07/13/22, 1715.46, 1732.60, 1700.94, 1726.04
07/12/22, 1728.52, 1743.17, 1719.23, 1728.18
07/11/22, 1765.60, 1765.60, 1729.65, 1732.01
07/08/22, 1767.58, 1780.13, 1752.94, 1769.37
07/07/22, 1736.01, 1772.30, 1736.01, 1769.60
07/06/22, 1738.68, 1747.93, 1712.16, 1727.55
07/05/22, 1714.86, 1741.34, 1681.58, 1741.33
07/01/22, 1705.07, 1728.91, 1690.91, 1727.76
06/30/22, 1706.48, 1722.09, 1680.40, 1707.99
