Date,Open,High,Low,Close,Adj Close,Volume
18-03-2015,"1,148.70","1,174.30","1,147.00","1,151.40","1,151.40",112
19-03-2015,"1,171.60","1,171.60","1,159.30","1,169.10","1,169.10",39
20-03-2015,"1,171.00","1,185.40","1,171.00","1,184.80","1,184.80",54
23-03-2015,"1,181.60","1,188.00","1,181.20","1,188.00","1,188.00",5
24-03-2015,"1,188.00","1,193.00","1,186.00","1,191.70","1,191.70",411
25-03-2015,"1,192.50","1,199.20","1,192.50","1,197.30","1,197.30",11
26-03-2015,"1,198.20","1,213.70","1,198.20","1,205.10","1,205.10",68
27-03-2015,"1,197.00","1,199.80","1,196.30","1,199.80","1,199.80","1,72,260"
30-03-2015,"1,198.00","1,198.50","1,181.60","1,184.80","1,184.80","37,990"
31-03-2015,"1,185.80","1,190.10","1,178.20","1,183.10","1,183.10","3,409"
01-04-2015,"1,182.90","1,208.20","1,181.00","1,208.10","1,208.10","1,632"
02-04-2015,"1,204.00","1,205.70","1,194.80","1,200.90","1,200.90","1,684"
06-04-2015,"1,209.90","1,224.20","1,209.90","1,218.60","1,218.60",343
07-04-2015,"1,214.80","1,214.80","1,208.20","1,210.60","1,210.60",406
08-04-2015,"1,208.90","1,211.40","1,197.60","1,203.10","1,203.10",236
09-04-2015,"1,201.70","1,202.50","1,193.00","1,193.60","1,193.60",521
10-04-2015,"1,195.80","1,209.60","1,195.80","1,204.60","1,204.60",202
13-04-2015,"1,208.10","1,208.10","1,198.30","1,199.30","1,199.30",424
14-04-2015,"1,198.80","1,200.60","1,184.10","1,192.80","1,192.80",546
15-04-2015,"1,194.60","1,203.10","1,188.60","1,201.50","1,201.50",196
16-04-2015,"1,204.30","1,208.50","1,194.60","1,198.00","1,198.00",199
17-04-2015,"1,200.20","1,206.00","1,200.20","1,202.90","1,202.90",21
20-04-2015,"1,205.70","1,206.90","1,191.00","1,193.50","1,193.50",67
21-04-2015,"1,193.20","1,202.90","1,192.80","1,202.90","1,202.90",33
22-04-2015,"1,199.10","1,202.60","1,185.20","1,186.90","1,186.90",93
23-04-2015,"1,187.20","1,197.00","1,186.10","1,194.40","1,194.40",331
24-04-2015,"1,192.30","1,194.70","1,174.60","1,175.20","1,175.20",52
27-04-2015,"1,182.30","1,206.70","1,181.40","1,203.30","1,203.30",194
28-04-2015,"1,199.70","1,214.00","1,199.70","1,214.00","1,214.00",401
29-04-2015,"1,211.20","1,212.60","1,201.90","1,209.80","1,209.80",114
30-04-2015,"1,203.10","1,205.90","1,176.70","1,182.40","1,182.40",143
01-05-2015,"1,178.10","1,178.10","1,170.00","1,174.50","1,174.50",23
04-05-2015,"1,177.50","1,189.40","1,177.50","1,186.80","1,186.80",38
05-05-2015,"1,187.50","1,198.70","1,186.90","1,193.20","1,193.20",48
06-05-2015,"1,194.50","1,194.60","1,189.90","1,190.30","1,190.30",14
07-05-2015,"1,181.50","1,186.00","1,179.70","1,182.40","1,182.40",44
08-05-2015,"1,183.30","1,189.10","1,182.90","1,189.10","1,189.10",51
11-05-2015,"1,189.70","1,190.50","1,179.30","1,183.20","1,183.20",26
12-05-2015,"1,194.60","1,194.80","1,189.70","1,192.60","1,192.60",10
13-05-2015,"1,192.70","1,218.40","1,191.00","1,218.40","1,218.40",34
14-05-2015,"1,214.50","1,225.60","1,214.50","1,225.40","1,225.40",35
15-05-2015,"1,218.50","1,225.50","1,214.80","1,225.50","1,225.50",12
18-05-2015,"1,224.50","1,228.10","1,222.60","1,227.80","1,227.80",8
19-05-2015,"1,223.90","1,223.90","1,206.00","1,206.90","1,206.90",9
20-05-2015,"1,205.10","1,210.80","1,205.10","1,208.90","1,208.90",11
21-05-2015,"1,204.50","1,204.50","1,203.70","1,204.40","1,204.40",43
22-05-2015,"1,211.60","1,211.90","1,204.30","1,204.30","1,204.30",8
26-05-2015,"1,193.60","1,193.60","1,186.00","1,187.20","1,187.20",40
27-05-2015,"1,185.90","1,185.90","1,185.90","1,185.90","1,185.90","2,00,216"
28-05-2015,"1,187.10","1,192.00","1,179.60","1,188.10","1,188.10","52,705"
29-05-2015,"1,187.80","1,193.30","1,185.70","1,189.40","1,189.40","4,748"
01-06-2015,"1,190.60","1,204.00","1,184.30","1,188.30","1,188.30","1,236"
02-06-2015,"1,189.00","1,194.30","1,186.00","1,194.10","1,194.10","1,003"
03-06-2015,"1,193.90","1,193.90","1,179.10","1,184.70","1,184.70",630
04-06-2015,"1,184.90","1,185.30","1,173.00","1,174.90","1,174.90",447
05-06-2015,"1,176.40","1,177.30","1,164.00","1,167.80","1,167.80",390
08-06-2015,"1,169.50","1,176.10","1,169.10","1,173.20","1,173.20",173
09-06-2015,"1,172.90","1,180.30","1,172.70","1,177.30","1,177.30",144
10-06-2015,"1,176.10","1,190.10","1,175.60","1,186.10","1,186.10",295
11-06-2015,"1,183.20","1,183.20","1,174.40","1,179.90","1,179.90",69
12-06-2015,"1,180.40","1,181.20","1,176.20","1,178.80","1,178.80",141
15-06-2015,"1,179.90","1,188.50","1,172.70","1,185.30","1,185.30",102
16-06-2015,"1,186.50","1,186.50","1,175.90","1,180.50","1,180.50",29
17-06-2015,"1,177.60","1,186.30","1,174.90","1,176.40","1,176.40",168
18-06-2015,"1,183.40","1,202.00","1,183.40","1,201.50","1,201.50",130
19-06-2015,"1,199.70","1,203.10","1,199.70","1,201.50","1,201.50",142
22-06-2015,"1,197.80","1,197.80","1,182.70","1,183.70","1,183.70",30
23-06-2015,"1,183.80","1,186.00","1,176.20","1,176.20","1,176.20",60
24-06-2015,"1,176.60","1,176.60","1,170.70","1,172.60","1,172.60",263
25-06-2015,"1,175.80","1,175.90","1,171.50","1,171.50","1,171.50",95
26-06-2015,"1,170.50","1,172.90","1,170.50","1,172.90","1,172.90",308
29-06-2015,"1,185.10","1,186.00","1,173.80","1,178.50","1,178.50",174
30-06-2015,"1,176.30","1,176.40","1,166.60","1,171.50","1,171.50",223
01-07-2015,"1,173.10","1,173.10","1,166.60","1,169.00","1,169.00",455
02-07-2015,"1,166.40","1,168.10","1,155.50","1,163.00","1,163.00",316
06-07-2015,"1,171.10","1,173.00","1,162.20","1,172.90","1,172.90",634
07-07-2015,"1,166.80","1,166.80","1,149.50","1,152.40","1,152.40",469
08-07-2015,"1,152.60","1,163.30","1,146.40","1,163.30","1,163.30",65
09-07-2015,"1,154.80","1,163.60","1,154.80","1,159.00","1,159.00",65
10-07-2015,"1,160.10","1,161.40","1,157.50","1,157.70","1,157.70",27
13-07-2015,"1,159.00","1,159.00","1,151.20","1,155.20","1,155.20",14
14-07-2015,"1,157.20","1,157.20","1,153.00","1,153.30","1,153.30",39
15-07-2015,"1,154.00","1,154.00","1,144.80","1,147.20","1,147.20",15
